question,answer,question_sw,answer_sw
My village doesn't have an ASHA for the MHS program and I don't have access to sanitary napkins. Are there any other ways to get them?,"If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
"I cannot contact the ASHA in my village for the MHS program, what other methods can I use to get sanitary napkins?","If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
"In my village we don't have any ASHA for the MHS program, how can I get access to sanitary napkins?","If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
My village ASHA is usually on leave and I cannot get access to sanitary napkins easily. Are there any other ways to obtain the pads through the MHS program?,"If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
I do not have access to the ASHA in my village and she is also not available. Is there any other way I can get sanitary napkins using the MHS program?,"If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
I live in a remote village and the ASHA is not available. Is there any alternative to get access to sanitary napkins through the MHS program?,"If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
Are there any other means to get sanitary napkins via the MHS program if the ASHA in my town isn't available?,"If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
"If the ASHA in my village is not there, how can I acquire sanitary napkins from the MHS program?","If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
"If the ASHA in my area is nowhere to be found, how will I be able to receive sanitary napkins under the MHS program?","If the ASHA is unavailable, you can try inquiring at the nearest Anganwadi center. They might have information on alternative distribution points or contact details for the ASHA.",,
The Rs. 6 cost for sanitary napkins is still a bit difficult for my family. Are there any other options?,"While the MHS program offers a subsidized price, here are some additional options: Reusable cloth pads: These can be washed and reused, making them a more cost-effective option in the long run. There might be workshops or information sessions organized by the MHS program on making or acquiring cloth pads. Talk to your family: Explain the importance of menstrual hygiene and see if they can manage the Rs. 6 cost.",,
"My wife cannot afford the Rs. 6 to buy sanitary napkins, is there any other cheaper option?","While the MHS program offers a subsidized price, here are some additional options: Reusable cloth pads: These can be washed and reused, making them a more cost-effective option in the long run. There might be workshops or information sessions organized by the MHS program on making or acquiring cloth pads. Talk to your family: Explain the importance of menstrual hygiene and see if they can manage the Rs. 6 cost.",,
